Station GareGem.;instappendetijdensweek;Gem.instappendeopzaterdag;Gem.instappendeopzondag  
FRAMERIES;218;111;86  
FRANCHIMONT;200;31;16  
FRANIERE;246;98;85  
FROYENNES;748;32;24  
GALMAARDEN;510;112;78  
GASTUCHE;205;78;68  
GAVERE-ASPER;478;129;89  
GEDINNE;208;123;119  
GEEL;1.881;842;767  
GEMBLOUX;5.724;1.904;1.699  
GENDRON-CELLES;70;46;37  
GENK;1.081;658;1.117  
GENLY;97;38;38  
GENT-DAMPOORT;6.103;3.428;2.979  
GENT-SINT-PIETERS;48.885;23.575;23.324  
GENTBRUGGE;417;270;139  
GENVAL;1.472;382;307  
GERAARDSBERGEN;2.847;959;927  
GERMOIR/MOUTERIJ;247; -; -
GHLIN;102;-; -
GLONS;116;48;43  
GODARVILLE;105;23;27  
GODINNE;540;267;239  
GONTRODE;110;29;21  
GOUVY;268;306;341  
GOUY-LEZ-PIETON;102;28;20  
GRAIDE;98;44;71  
GROENENDAAL;702;246;183  
GROOT-BIJGAARDEN;568;292;257  
GRUPONT;69;51;38  
HAACHT;664;185;192  
HAALTERT;704;278;171  
HABAY;120;43;69  
HAININ;57;51;36  
HALANZY;152;57;59  
HALLE;8.655;3.321;2.415  
HAM-SUR-HEURE;99;20;28  
HAMBOS;41; -; -
HAMOIR;336;103;131  
HAMONT;147;181;259  
HANSBEKE;301;93;96  
HARCHIES;21;-; - 
HARELBEKE;865;234;268  
HAREN;186;57;56  
HAREN-ZUID/SUD;1.144;581;345  
HASSELT;7.450;3.420;3.619  
HAUTE-FLONE;137;60;33  
HAVERSIN;95;34;35  
HAVRE;94;26;24  
HEIDE;1.117;351;278  
HEIST;413;205;256  
HEIST-OP-DEN-BERG;1.917;903;823  
HEIZIJDE;567;145;128  
HEMIKSEM;443;178;153  
HENNUYERES;505;192;157  
HERENT;706;239;154  
HERENTALS;2.834;1.194;1.284  
HERGENRATH;38;48;28  
HERNE;562;92;95  
HERSEAUX;580;187;263  
HERSTAL;808;405;351  
HERZELE;476;157;120  
HEUSDEN;136;44;40  
HEVER;124;79;69  
HEVERLEE;941;373;257  
HILLEGEM;163;61;46  
HOBOKEN-POLDER;536;230;193  
HOEILAART;350;206;148  
HOFSTADE;104; -; -
HOLLEKEN;192;207;139  
HONY;156;61;54  
HOURAING;185;74;65  
HOURPES;5; -; -
HOUYET;114;138;109  
HOVE;577;382;271  
HUIZINGEN;334; -; -
HUY;2.271;1.148;1.094  
IDDERGEM;329;89;67  
IDEGEM;277;93;60  
IEPER;1.123;404;464  
INGELMUNSTER;900;190;154  
IZEGEM;1.380;342;363  
JAMBES;1.422;545;572  
JAMBES-EST;212;45;32  
JAMIOULX;37;4;15  
JEMAPPES;511;313;246  
JEMEPPE-SUR-MEUSE;196;60;55  
JEMEPPE-SUR-SAMBRE;450;162;117  
JETTE;3.773;1.033;798  
JURBISE;1.678;634;485  
JUSLENVILLE;103;48;41  
KALMTHOUT;996;249;209  
KAPELLE-OP-DEN-BOS;438;130;166  
KAPELLEN;1.351;426;350  
KESSEL;441;205;204  
KIEWIT;759;107;198  
KIJKUIT;242;102;88  
KNOKKE;746;883;1.168  
KOKSIJDE;274;147;384  
KONTICH-LINT;849;479;347  
KORTEMARK;447;210;363  
KORTENBERG;889;318;179  
KORTRIJK;8.847;3.812;3.957  
KWATRECHT;170;93;86  
LA HULPE;1.559;480;382  
LA LOUVIERE-CENTRE;1.492;1.230;1.085  
LA LOUVIERE-SUD;3.281;2.277;1.811  
LA ROCHE;204;57;69  
LABUISSIERE;67;17;14  
LANDEGEM;649;111;90  
LANDELIES;81;11;14  
LANDEN;3.125;861;670  
LANDSKOUTER;62;13;22  
LANGDORP;185;96;61  
LE CAMPINAIRE;137;-;-  
LEBBEKE;541;148;120  
LEDE;1.433;509;432  
LEIGNON;49;21;16  
LEMAN;94;-;-  
LEMBEEK;1.031;462;318  
LENS;271;88;91  
LEOPOLDSBURG;371;56;75  
LESSINES;634;216;240  
LEUVEN;31.230;14.156;12.456  
LEUZE;1.604;464;456  
LEVAL;116;69;60  
LIBRAMONT;2.458;1.255;1.683  
LICHTERVELDE;3.134;1.451;1.623  
LIEDEKERKE;2.350;1.453;1.327  
LIEGE-CARRE;1.938;572;502  
LIEGE-GUILLEMINS;22.060;10.444;9.879  
LIEGE-SAINT-LAMBERT;3.206;1.393;1.027  
LIER;5.617;2.892;2.461  
LIERDE;431;108;149  
LIERS;463;251;453  
LIGNY;194;35;71  
LILLOIS;565;291;173  
LIMAL;356;162;136  
LINKEBEEK;1.227;630;377  
LISSEWEGE;182;64;74  
LOBBES;121;24;25  
LODELINSART;161;55;62  
LOKEREN;4.945;2.231;2.129  
LOMMEL;471;369;385  
LONDERZEEL;1.040;300;469  
LONZEE;193;29;31  
LOT;798;395;251  
LOUVAIN-LA-NEUVE;5.242;2.273;1.274  
LUSTIN;501;296;282  
LUTTRE;2.249;601;479  
MAFFLE;170;73;71  
MALDEREN;356;153;136  
MANAGE;245;108;50  
MARBEHAN;636;365;794  
MARCHE-EN-FAMENNE;318;143;201  
MARCHE-LES-DAMES;86;10;7  
MARCHE-LEZ-ECAUSSINNES;154;-;-  
MARCHIENNE-AU-PONT;1.642;869;850  
MARCHIENNE-ZONE;29;5;4  
MARIA-AALTER;221;63;61  
MARIEMBOURG;159;42;62  
MARLOIE;1.510;931;1.160  
MASNUY-SAINT-PIERRE;45;-;-  
MAUBRAY;10;-;-  
MAZY;38;-;-  
MECHELEN;19.197;7.542;5.969  
MECHELEN-NEKKERSPOEL;1.981;1.368;1.350  
MEISER;749;87;88  
MELKOUWEN;195;84;74  
MELLE;949;496;470  
MELREUX-HOTTON;336;145;215  
MELSELE;308;105;96  
MENEN;1.137;549;451  
MERCHTEM;1.163;209;190  
MERELBEKE;839;247;243  
MERODE;285;-;-  
MERY;150;50;41  
MESSANCY;188;35;31  
MEVERGNIES-ATTRE;190;82;99  
MILMORT;505;144;124  
MOENSBERG;359;-;-  
MOL;2.588;1.033;1.181  
MOLLEM;319;71;57  
MOMALLE;113;16;29  
MONS;9.676;3.615;3.276  
MONT-SAINT-GUIBERT;459;107;86  
MOORTSELE;125;33;29  
MORLANWELZ;377;80;61  
MORTSEL;576;262;82  
MORTSEL-DEURNESTEENWEG;-;-;105  
MORTSEL-LIERSESTEENWEG;198;151;2  
MORTSEL-OUDE-GOD;875;593;896  
MOUSCRON/MOESKROEN;1.970;1.019;1.152  
MOUSTIER;314;104;89  
MUIZEN;272;96;78  
MUNKZWALM;299;120;106  
NAMECHE;126;40;24  
NAMUR;21.973;8.194;7.295  
NANINNE;211;58;47  
NATOYE;251;56;76  
NEERPELT;303;223;280  
NEERWINDEN;195;62;52  
NESSONVAUX;323;210;158  
NEUFCHATEAU;181;43;73  
NEUFVILLES;87;-;-  
NIEL;413;176;117  
NIEUWKERKEN-WAAS;243;140;96  
NIJLEN;719;326;273  
NIMY;108;17;35  
NINOVE;1.271;345;259  
NIVELLES;4.153;1.644;1.213  
NOORDERKEMPEN;1.582;1.109;1.401  
NOSSEGEM;613;303;164  
OBAIX-BUZET;200;-;-  
OBOURG;49;-;-  
OKEGEM;326;121;67  
OLEN;555;237;313  
OOSTENDE;6.455;5.500;6.447  
OOSTKAMP;183;71;66  
OPWIJK;1.140;310;246  
OTTIGNIES;21.123;8.719;9.181  
OUD-HEVERLEE;174;114;142  
OUDEGEM;217;-; - 
OUDENAARDE;3.689;1.370;1.018  
OUGREE;147;30;45  
OVERPELT;219;213;193  
PALISEUL;96;47;65  
PAPIGNIES;181;76;48  
PECROT;215;76;65  
PEPINSTER;1.076;422;359  
PEPINSTER-CITE;40;23;11  
PERUWELZ;693;127;201  
PHILIPPEVILLE;270;57;76  
PIETON;151;56;45  
POIX-SAINT-HUBERT;36;26;30  
PONT-A-CELLES;84;23;14  
PONT-DE-SERAING;389;48;28  
POPERINGE;599;232;278  
POULSEUR;332;134;128  
PROFONDSART;236;98;63  
PRY;16; -; - 
PUURS;1.638;502;533  
QUAREGNON;385;213;177  
QUEVY;163;147;166  
QUIEVRAIN;364;248;140  
REBAIX;151;56;71  
REMICOURT;165;48;33  
RHISNES;263;86;53  
RIVAGE;448;195;178  
RIXENSART;1.683;425;319  
ROCHEFORT-JEMELLE;698;510;684  
ROESELARE;3.052;1.402;1.574  
RONET;156;98;120  
RONSE/RENAIX;1.266;280;215  
ROUX;141;35;36  
RUISBR.-SAUVEGARDE;277;113;95  
RUISBROEK;1.030;528;296  
SART-BERNARD;168;67;61  
SCHAARBEEK/SCHAERBEEK;3.644;2.020;1.485  
SCHELDEWINDEKE;321;84;63  
SCHELLE;349;143;118  
SCHELLEBELLE;475;97;93  
SCHENDELBEKE;343;116;80  
SCHOONAARDE;336;162;161  
SCHULEN;244;183;185  
SCLAIGNEAUX;109;22;15  
SCLESSIN;93;-; - 
SERAING;539;80;64  
SERSKAMP;184;42;31  
SILLY;1.223;293;242  
SIMONIS;185;128;85  
SINAAI;364;86;118  
SLEIDINGE;222;61;49  
Page;8;of;10  
SOIGNIES;2.426;1.389;1.126  
SOLRE-SUR-SAMBRE;70;9;14  
SPA;354;162;155  
SPA-GERONSTERE;272;207;147  
ST-DENIJS-BOEKEL;180;-;-  
ST-DENIS-BOVESSE;202;31;39  
ST-GEN-RODE/RHODE-ST-GEN;1.719;743;456  
