GARE;Semaine;N67;Samedi;R6;Dimanche;R7
ERBISOEUL;68;486;16;475;13;472
EREMBODEGEM;787;141;236;150;230;150
ERNAGE;114;443;22;449;16;461
ERPE-MERE;50;508
ERPS-KWERPS;306;278;57;331;42;364
ERQUELINNES;254;305;80;291;74;287
ERQUELINNES-VILLAGE;44;516;21;452;12;476
ESNEUX;158;400;86;279;64;307
ESSEN;1.577;86;1.192;48;988;57
ESSENE-LOMBEEK;327;265;47;362;50;347
ETTERBEEK;7.536;22;791;69;564;88
EUPEN;464;220;479;90;467;92
EVERE;684;159;65;316;26;413
EVERGEM;310;271;40;380;56;327
EZEMAAL;216;330;93;270;90;258
FAMILLEUREUX;64;494
FARCIENNES;173;383;40;381;27;409
FAUX;156;403;25;436;23;422
FEXHE-LE-HT-CLOCHER;147;407;20;460;17;453
FLAWINNE;63;496;20;461;6;492
FLEMALLE-GRANDE;87;462;21;453;20;436
FLEMALLE-HAUTE;1.197;104;875;63;799;68
FLEURUS;442;228;101;260;113;227
FLOREFFE;204;342;33;398;22;426
FLORENVILLE;165;391;46;366;91;255
FLORIVAL;108;449;33;399;17;454
FONTAINE-VALMONT;79;474;25;437;24;418
FORCHIES;133;420;33;400;29;400
FOREST-EST/VORST-OOST;486;213;100;263;77;283
FOREST-MIDI/VORST-ZUID;215;331;29;418;28;405
FORRIERES;33;527;23;442;15;465
FRAIPONT;80;471;44;370;30;396
FRAMERIES;269;296
FRANCHIMONT;221;326;43;373;34;384
FRANIERE;153;406;41;376;29;401
FROYENNES;676;162;27;428;12;477
GALMAARDEN;339;260;51;347;61;316
GASTUCHE;204;343;51;348;53;335
GAVERE-ASPER;539;191;169;186;106;235
GEDINNE;121;435;32;404;83;267
GEEL;1.816;73;753;72;596;83
GEMBLOUX;6.706;26;2.099;31;1.686;32
GENDRON-CELLES;23;542;23;443;10;483
GENK;1.214;103;774;71;1.513;37
GENLY;124;433
GENT-DAMPOORT;5.699;32;2.454;25;1.883;28
GENT-SINT-PIETERS;56.189;4;22.000;4;18.195;5
GENTBRUGGE;480;215;149;201;97;245
GENVAL;1.308;99;428;101;314;126
GERAARDSBERGEN;2.931;52;854;64;800;67
GERMOIR/MOUTERIJ;365;252;41;377;21;432
GHLIN;30;530
GLONS;106;451;18;466;19;440
GODARVILLE;112;446;30;410;14;469
GODINNE;373;251;136;216;122;221
GONTRODE;154;405;47;363;30;397
GOUVY;214;332;85;281;133;211
GOUY-LEZ-PIETON;86;464;17;469;18;443
GRAIDE;65;492;32;405;79;278
GROENENDAAL;577;181;146;205;138;205
GROOT-BIJGAARDEN;442;229;96;267;94;248
GRUPONT;34;526;17;470;18;444
HAACHT;715;154;227;155;196;166
HAALTERT;578;180;133;219;110;228
HABAY;46;513;21;454;21;433
HAININ;69;485;26;430;18;445
HALANZY;84;466
HALLE;8.641;19;6.137;14;4.835;15
HAM-SUR-HEURE;80;472;21;455;38;373
HAM-SUR-SAMBRE;8;552
HAMBOS;29;532
HAMOIR;269;297;84;285;79;279
HAMONT;165;392;117;236;207;159
HANSBEKE;259;301;89;276;70;296
HARCHIES;22;543
HARELBEKE;1.084;114;246;142;410;105
HAREN;251;306;28;422;16;462
HAREN-ZUID/SUD;576;183;119;231;86;264
HASSELT;7.226;23;2.925;22;2.682;18
HAUTE-FLONE;95;459;15;480;13;473
HAVERSIN;75;478;19;463;31;391
HAVRE;63;497;21;456;14;470
HEIDE;996;119;345;117;346;119
HEIST;421;236;149;202;162;187
HEIST-OP-DEN-BERG;1.796;74;914;59;793;70
HEIZIJDE;279;289;49;355;71;294
HEMIKSEM;236;310;125;226;72;291
HENNUYERES;417;237;62;321;62;313
HERENT;631;168;156;196;132;212
HERENTALS;3.966;42;1.287;46;1.159;49
HERGENRATH;19;545;26;431;22;427
HERNE;319;267;52;343;55;330
HERSEAUX;504;203;217;161;289;130
HERSTAL;344;258;325;119;244;146
HERZELE;528;194;116;238;138;206
HEUSDEN;145;409;55;336;39;370
HEVER;142;412
HEVERLEE;524;197;109;246;53;336
HILLEGEM;118;439
HOBOKEN-POLDER;235;311;111;242;87;263
HOEILAART;258;302;107;252;107;233
HOFSTADE;68;487
HOLLEKEN;191;359;108;249;79;280
HONY;65;493;11;487;9;485
HOURAING;128;425;52;344;38;374
HOURPES;10;551
HOUYET;90;460;28;423;44;360
HOVE;503;205;172;181;149;196
HUIZINGEN;318;268;39;384;22;428
HUY;2.169;65;535;87;489;90
IDDERGEM;163;394;46;367;37;375
IDEGEM;198;351;37;389;53;337
IEPER;1.191;105;528;88;699;76
INGELMUNSTER;849;138;218;160;218;155
IZEGEM;1.421;92;377;110;416;104
JAMBES;1.176;107;415;104;769;71
JAMBES-EST;117;440;14;482;8;487
JAMIOULX;33;528;16;476;21;434
JEMAPPES;481;214;186;175;170;180
JEMEPPE-SUR-MEUSE;127;427;30;411;32;387
JEMEPPE-SUR-SAMBRE;362;253;162;193;164;185
JETTE;3.442;47;673;79;645;78
JURBISE;1.436;90;323;120;287;131
JUSLENVILLE;87;463;51;349;48;353
KALMTHOUT;887;133;237;149;278;135
KAPELLE-OP-DEN-BOS;401;242;173;180;159;191
KAPELLEN;1.153;109;375;111;384;111
KESSEL;401;243;165;189;127;216
KIEWIT;737;151;88;277;326;123
KIJKUIT;173;384;110;244;68;299
KNOKKE;727;152;624;83;706;75
KOKSIJDE;306;279;129;221;313;127
KONTICH-LINT;936;125;354;116;360;117
KORTEMARK;528;195;193;174;409;106
KORTENBERG;752;148;170;184;174;174
KORTRIJK;8.914;17;4.221;17;4.464;17
KWATRECHT;122;434;23;444;17;455
LA HULPE;1.108;111;279;130;276;137
LA LOUVIERE-CENTRE;1.242;101;611;85;404;108
LA LOUVIERE-SUD;2.831;53;1.038;51;840;61
LA ROCHE;160;398;38;386;22;429
LABUISSIERE;74;480;23;445;18;446
LANDEGEM;535;192;151;199;148;199
LANDELIES;75;479;23;446;14;471
LANDEN;3.644;45;1.557;39;1.418;42
LANDSKOUTER;80;473
LANGDORP;207;339;31;408;107;234
LE CAMPINAIRE;60;501
LEBBEKE;439;230;85;282;91;256
LEDE;1.236;102;407;106;392;109
LEIGNON;35;524;16;477;17;456
LEMAN;64;495
LEMBEEK;596;177;86;280;99;243
LENS;119;437;41;378;29;402
LEOPOLDSBURG;428;233;172;182;161;188
LESSINES;600;175;259;139;171;178
LEUVEN;33.932;6;13.125;7;10.816;7
LEUZE;1.788;76;431;100;422;100
LEVAL;160;399;35;393;37;376
LIBRAMONT;1.897;71;812;65;1.510;38
LICHTERVELDE;3.046;49;1.811;37;2.267;24
LIEDEKERKE;1.979;68;780;70;594;84
LIEGE-CARRE;1.579;85;560;86;351;118
LIEGE-GUILLEMINS;17.843;10;9.758;8;8.519;8
LIEGE-SAINT-LAMBERT;3.035;50;1.513;42;1.039;54
LIER;5.651;33;2.256;28;2.251;25
LIERDE;402;241;105;255;131;213
LIERS;220;327;101;261;85;266
LIGNY;166;390;33;401;28;406
LILLOIS;569;185;119;232;80;275
LIMAL;374;250;59;326;56;328
LINKEBEEK;1.074;115;261;137;187;170
LISSEWEGE;188;363;39;385;41;368
