Station Gare;Gem. instappende tijdens week Moy. montés en semaine;Gem. instappende op zaterdag Moy. montés le samedi;Gem. instappende op zondag Moy. montés le dimanche
AALST;5.580;1.803;1.599
AALST-KERREBROEK;22;-;-
AALTER;2.278;1.006;776
AARSCHOT;5.444;1.879;1.780
AARSELE;37;-;-
ACREN;216;69;51
AISEAU;95;44;38
ALKEN;430;241;324
AMAY;300;81;84
AMPSIN;170;66;55
ANDENNE;1.479;849;709
ANDERLECHT;675;229;241
ANGLEUR;899;209;200
ANS;1.166;161;150
ANSEREMME;120;170;130
ANTOING;307;152;118
ANTWERPEN-BERCHEM;13.994;9.172;9.426
ANTWERPEN-CAAL;31.347;22.765;20.425
ANTWERPEN-LUCHTBAL;786;60;36
ANTWERPEN-NOORDERDOKKEN;87;18;2
ANTWERPEN-ZUID;2.954;658;634
ANZEGEM;284;-;-
APPELTERRE;282;67;81
ARCADES;59;-;-
ARCHENNES;215;63;82
ARLON;4.345;1.214;3.331
ASSE;1.463;383;355
ASSESSE;242;60;52
ATH;5.063;1.831;1.529
ATHUS;1.026;277;295
AUBANGE;58;19;21
AUVELAIS;459;235;215
AYE;56;31;23
AYWAILLE;400;133;182
BAASRODE-ZUID;194;-;-
BALEGEM-DORP;224;73;66
BALEGEM-ZUID;156;48;44
BALEN;215;54;34
BAMBRUGGE;31;-;-
BARVAUX;424;86;110
BAS-OHA;88;39;32
BASSE-WAVRE;513;98;111
BEAURAING;375;178;309
BEERNEM;649;247;272
BEERSEL;354;91;73
BEERVELDE;283;70;105
BEGIJNENDIJK;284;148;173
BEIGNEE;11;-;-
BELLEM;179;104;96
BELSELE;334;70;77
BERCHEM-ST-AG.-BERCHEM;951;215;190
BERINGEN;90;20;15
BERLAAR;401;222;245
BERTRIX;470;146;251
BERZEE;124;26;30
BEUZET;180;15;15
BEVEREN;1.377;381;393
BEVERLO;122;26;14
BIERGES-WALIBI;245;989;735
BIERSET-AWANS;147;57;63
BILZEN;637;261;384
BINCHE;450;200;185
BISSEGEM;239;104;226
BLANKENBERGE;1.827;1.066;1.066
BLANMONT;222;26;47
BLATON;479;212;140
BLERET;52;44;23
BOCKSTAEL;1.166;266;216
BOECHOUT;578;177;231
BOITSFORT/BOSVOORDE;993;234;268
BOKRIJK;299;37;77
BOMAL;300;60;102
BOOISCHOT;288;154;170
BOOM;383;127;127
BOONDAEL/BOONDAAL;1.433;350;272
BOORTMEERBEEK;677;209;187
BORDET;1.484;301;221
BORNEM;697;264;407
BOUSSU;188;99;107
BOUWEL;547;202;253
BRACQUEGNIES;147;43;35
BRAINE-l'ALLEUD;5.630;1.988;1.537
BRAINE-LE-COMTE;5.100;1.714;1.276
BRESSOUX;93;47;80
BRU. AIRPORT - ZAVENTEM;9.087;6.176;6.101
BRU.-CENT.;49.476;24.143;20.618
BRU.-CHAP./KAP.;192;-;-
BRU.-CONG.;584;-;-
BRU.-LUXEMBG;7.113;2.686;2.111
BRU.-MIDI/ZUID;50.746;29.056;27.814
BRU.-NOORD/NORD;48.125;21.882;17.413
BRU.-SCHUMAN;8.118;2.386;2.500
BRU.-WEST/OUEST;247;105;100
BRUGELETTE;425;86;80
BRUGGE;15.484;10.983;11.495
BRUGGE-SINT-PIETERS;131;80;82
BUDA;130;-;-
BUGGENHOUT;602;212;301
BUIZINGEN;524;212;123
BURST;1.052;208;191
CALLENELLE;11;-;-
CAMBRON-CASTEAU;225;170;180
CARLSBOURG;62;16;28
CARNIERES;187;34;36
CEROUX-MOUSTY;226;71;75
CHAPELLE-DIEU;43;-;-
CHAPOIS;33;30;15
CHARLEROI-OUEST;110;22;30
CHARLEROI-SUD;9.734;4.952;4.228
CHASTRE;357;62;89
CHATEAU-DE-SEILLES;150;38;35
CHATELET;449;295;263
CHAUDFONTAINE;82;48;38
CHENEE;107;43;31
CINEY;2.026;785;883
COMBLAIN-LA-TOUR;217;43;49
COMINES/KOMEN;403;204;307
COO;233;142;143
COUILLET;123;-;-
COUR-SUR-HEURE;20;11;11
COURCELLES-MOTTE;281;47;30
COURRIERE;305;72;90
COURT-SAINT-ETIENNE;322;77;64
COUVIN;223;127;201
DAVE-SAINT-MARTIN;130;56;37
DE HOEK;274;230;107
DE PANNE;593;715;967
DE PINTE;1.618;511;512
DEINZE;2.209;822;1.070
DELTA;308;-;-
DENDERLEEUW;10.060;3.355;2.885
DENDERMONDE;4.895;1.404;1.339
DIEGEM;1.380;685;498
DIEPENBEEK;342;166;228
DIEST;3.044;800;1.107
DIKSMUIDE;564;239;466
DILBEEK;930;194;218
DINANT;1.504;1.067;1.067
DOLHAIN-GILEPPE;126;30;35
DRONGEN;434;133;106
DUFFEL;832;440;416
DUINBERGEN;199;136;193
ECAUSSINNES;716;359;639
EDE;634;145;119
EEKLO;1.158;346;235
EICHEM;200;92;90
EINE;316;151;91
EKE-NAZARETH;372;109;81
EKEREN;927;98;72
ENGHIEN/EDINGEN;3.655;1.177;1.059
ENGIS;227;66;51
EPPEGEM;908;313;210
ERBISOEUL;123;22;19
EREMBODEGEM;1.058;344;385
ERNAGE;184;44;39
ERPE-MERE;52;-;-
ERPS-KWERPS;340;122;87
ERQUELINNES;206;87;78
ERQUELINNES-VILLAGE;46;32;18
ESNEUX;436;151;189
ESSEN;1.135;351;378
ESSENE-LOMBEEK;481;126;121
ETTERBEEK;6.556;1.007;825
EUPEN;553;466;368
EVERE;605;99;76
EVERGEM;349;59;49
EZEMAAL;236;91;48
FAMILLEUREUX;106;-;-
FARCIENNES;155;43;45
FAUX;148;35;38
FEXHE-LE-HT-CLOCHER;135;32;28
FLAWINNE;49;31;25
FLEMALLE-GRANDE;147;64;30
FLEMALLE-HAUTE;1.331;369;292
FLEURUS;394;131;193
FLOREFFE;212;89;58
FLORENVILLE;167;58;66
FLORIVAL;158;40;65
FONTAINE-VALMONT;76;44;40
FORCHIES;199;22;23
FOREST-EST/VORST-OOST;825;318;194
FOREST-MIDI/VORST-ZUID;376;235;147
FORRIERES;41;22;45
FRAIPONT;127;72;58
FRAMERIES;222;102;85
FRANCHIMONT;140;40;54
FRANIERE;152;59;56
FROYENNES;809;34;20
GALMAARDEN;478;61;62
GASTUCHE;252;74;108
GAVERE-ASPER;433;135;90
GEDINNE;201;62;98
GEEL;1.687;695;648
GEMBLOUX;5.517;1.678;1.685
GENDRON-CELLES;119;71;64
GENK;1.201;360;680
GENLY;153;42;48
GENT-DAMPOORT;5.632;3.154;2.876
GENT-SINT-PIETERS;48.138;25.618;22.423
GENTBRUGGE;447;188;144
GENVAL;1.513;486;492
GERAARDSBERGEN;2.980;777;741
GERMOIR/MOUTERIJ;430;119;73
GHLIN;86;-;-
GLONS;109;1;-
GODARVILLE;103;37;28
GODINNE;561;312;334
GONTRODE;147;61;48
GOUVY;263;128;217
GOUY-LEZ-PIETON;93;28;18
GRAIDE;105;43;50
GROENENDAAL;817;266;254
GROOT-BIJGAARDEN;554;166;137
GRUPONT;70;51;81
HAACHT;760;192;204
HAALTERT;741;216;191
HABAY;124;42;58
HAININ;77;41;30
HALANZY;74;18;16
HALLE;8.140;3.228;2.792
HAM-SUR-HEURE;69;15;17
