Station Gare;Gem. instappende tijdens week Moy. montés en semaine;Gem. instappende op zaterdag Moy. montés le samedi;Gem. instappende op zondag Moy. montés le dimanche
HAMBOS;47;-;-
HAMOIR;286;58;71
HAMONT;126;141;192
HANSBEKE;333;115;121
HARCHIES;19;-;-
HARELBEKE;1.086;495;579
HAREN;277;70;31
HAREN-ZUID/SUD;870;451;290
HASSELT;6.103;3.099;3.527
HAUTE-FLONE;184;74;28
HAVERSIN;143;41;38
HAVRE;87;21;45
HEIDE;818;118;78
HEIST;427;192;219
HEIST-OP-DEN-BERG;1.957;988;925
HEIZIJDE;492;125;123
HEMIKSEM;333;99;118
HENNUYERES;496;177;125
HERENT;629;224;130
HERENTALS;3.282;1.339;1.352
HERGENRATH;46;28;16
HERNE;468;51;67
HERSEAUX;560;180;219
HERSTAL;518;295;251
HERZELE;626;161;167
HEUSDEN;108;28;18
HEVER;136;101;184
HEVERLEE;690;206;173
HILLEGEM;209;69;71
HOBOKEN-POLDER;389;73;95
HOEILAART;292;152;157
HOFSTADE;143;-;-
HOLLEKEN;138;211;107
HONY;99;29;26
HOURAING;167;55;44
HOURPES;7;-;-
HOUYET;118;38;47
HOVE;572;361;269
HUIZINGEN;331;73;59
HUY;1.991;705;658
IDDERGEM;299;109;93
IDEGEM;264;87;70
IEPER;1.228;605;827
INGELMUNSTER;728;291;159
IZEGEM;1.196;397;243
JAMBES;1.278;475;440
JAMBES-EST;241;57;35
JAMIOULX;27;9;8
JEMAPPES;580;236;164
JEMEPPE-SUR-MEUSE;213;38;32
JEMEPPE-SUR-SAMBRE;316;242;175
JETTE;3.081;957;836
JURBISE;1.384;897;690
JUSLENVILLE;123;40;44
KALMTHOUT;706;76;75
KAPELLE-OP-DEN-BOS;522;199;220
KAPELLEN;1.076;134;110
KESSEL;418;213;192
KIEWIT;415;66;77
KIJKUIT;155;27;18
KNOKKE;770;770;1.222
KOKSIJDE;314;149;341
KONTICH-LINT;1.044;507;398
KORTEMARK;518;180;399
KORTENBERG;844;245;185
KORTRIJK;8.189;4.785;5.392
KWATRECHT;195;68;53
LA HULPE;1.457;479;452
LA LOUVIERE-CENTRE;1.234;1.624;1.182
LA LOUVIERE-SUD;3.113;1.413;1.251
LA ROCHE;143;60;69
LABUISSIERE;69;35;33
LANDEGEM;581;176;142
LANDELIES;70;46;35
LANDEN;2.703;1.256;1.038
LANDSKOUTER;74;40;21
LANGDORP;211;48;163
LE CAMPINAIRE;81;-;-
LEBBEKE;598;177;124
LEDE;1.150;406;392
LEIGNON;34;14;9
LEMAN;90;-;-
LEMBEEK;927;388;215
LENS;232;55;54
LEOPOLDSBURG;312;250;133
LESSINES;741;290;219
LEUVEN;31.877;12.010;11.019
LEUZE;1.537;427;465
LEVAL;99;47;52
LIBRAMONT;2.586;1.011;1.614
LICHTERVELDE;3.184;1.822;2.214
LIEDEKERKE;2.274;920;947
LIEGE-CARRE;1.413;496;362
LIEGE-GUILLEMINS;18.139;9.630;9.076
LIEGE-SAINT-LAMBERT;2.314;1.100;755
LIER;5.250;2.475;2.945
LIERDE;519;122;81
LIERS;467;298;271
LIGNY;130;53;41
LILLOIS;751;118;58
LIMAL;419;125;116
LINKEBEEK;1.262;245;166
LISSEWEGE;165;70;78
LOBBES;112;55;45
LODELINSART;127;26;36
LOKEREN;4.512;2.314;2.205
LOMMEL;457;304;476
LONDERZEEL;1.016;195;361
LONZEE;184;18;17
LOT;802;329;169
LOUVAIN-LA-NEUVE;6.195;2.365;1.145
LUSTIN;495;246;293
LUTTRE;1.938;1.912;1.653
MAFFLE;175;44;47
MALDEREN;391;137;217
MANAGE;271;92;60
MARBEHAN;588;391;888
MARCHE-EN-FAMENNE;445;96;190
MARCHE-LES-DAMES;-;2;2
MARCHE-LEZ-ECAUSSINNES;174;-;-
MARCHIENNE-AU-PONT;1.638;685;640
MARCHIENNE-ZONE;18;31;28
MARIA-AALTER;225;101;93
MARIEMBOURG;144;109;117
MARLOIE;1.850;813;1.402
MASNUY-SAINT-PIERRE;35;-;-
MAUBRAY;16;-;-
MAZY;17;-;-
MECHELEN;19.957;8.375;6.730
MECHELEN-NEKKERSPOEL;1.707;1.549;1.170
MEISER;797;115;74
MELKOUWEN;221;127;169
MELLE;868;338;275
MELREUX-HOTTON;369;75;110
MELSELE;329;82;83
MENEN;831;442;462
MERCHTEM;1.193;389;317
MERELBEKE;749;250;252
MERODE;349;-;-
MERY;125;35;56
MESSANCY;170;39;47
MEVERGNIES-ATTRE;146;28;32
MILMORT;426;103;107
MOENSBERG;507;216;151
MOL;2.545;1.223;1.259
MOLLEM;435;113;117
MOMALLE;122;36;25
MONS;8.923;3.304;2.760
MONT-SAINT-GUIBERT;506;83;99
MOORTSELE;120;35;26
MORLANWELZ;449;49;36
MORTSEL;737;238;89
MORTSEL-DEURNESTEENWEG;-;-;113
MORTSEL-LIERSESTEENWEG;251;127;1
MORTSEL-OUDE-GOD;433;601;646
MOUSCRON/MOESKROEN;1.714;1.082;1.129
MOUSTIER;242;80;69
MUIZEN;262;132;157
MUNKZWALM;315;115;109
NAMECHE;172;123;105
NAMUR;21.074;10.360;8.880
NANINNE;200;49;45
NATOYE;222;70;88
NEERPELT;348;223;350
NEERWINDEN;175;47;41
NESSONVAUX;331;133;176
NEUFCHATEAU;174;48;62
NEUFVILLES;68;-;-
NIEL;322;109;111
NIEUWKERKEN-WAAS;239;63;81
NIJLEN;599;274;266
NIMY;153;32;50
NINOVE;1.238;350;285
NIVELLES;3.691;1.523;1.082
NOORDERKEMPEN;860;457;567
NOSSEGEM;589;257;201
OBAIX-BUZET;217;-;-
OBOURG;100;-;-
OKEGEM;347;115;160
OLEN;638;234;257
OOSTENDE;6.648;4.745;5.550
OOSTKAMP;262;95;97
OPWIJK;1.202;266;269
OTTIGNIES;18.377;9.161;8.641
OUD-HEVERLEE;258;117;100
OUDEGEM;230;-;-
OUDENAARDE;3.424;1.042;1.124
OUGREE;125;37;34
OVERPELT;199;136;226
PALISEUL;93;27;41
PAPIGNIES;132;49;25
PECROT;293;89;90
PEPINSTER;1.077;379;499
PEPINSTER-CITE;85;21;24
PERUWELZ;627;309;195
PHILIPPEVILLE;304;65;83
PIETON;183;29;21
POIX-SAINT-HUBERT;58;30;70
PONT-A-CELLES;93;25;24
PONT-DE-SERAING;304;35;28
POPERINGE;712;359;655
POULSEUR;333;145;132
PROFONDSART;246;121;105
PRY;21;-;-
PUURS;1.527;578;705
QUAREGNON;517;287;166
QUEVY;193;126;100
QUIEVRAIN;364;157;152
REBAIX;161;46;39
REMICOURT;170;63;46
RHISNES;289;39;39
RIVAGE;369;253;195
RIXENSART;1.638;451;411
ROCHEFORT-JEMELLE;664;359;582
ROESELARE;2.523;852;1.375
RONET;77;45;48
RONSE/RENAIX;893;518;385
ROUX;170;79;39
RUISBR.-SAUVEGARDE;219;80;82
RUISBROEK;959;451;296
SART-BERNARD;177;59;60
SCHAARBEEK/SCHAERBEEK;3.249;1.484;1.065
SCHELDEWINDEKE;325;89;85
SCHELLE;262;83;83
SCHELLEBELLE;476;118;94
SCHENDELBEKE;273;125;125
SCHOONAARDE;348;157;198
SCHULEN;265;109;250
SCLAIGNEAUX;123;55;49
SCLESSIN;82;-;-
SERAING;483;87;73
SERSKAMP;133;59;75
SILLY;866;229;285
SIMONIS;216;133;150
SINAAI;338;76;83
SLEIDINGE;267;64;49
SOIGNIES;2.215;1.216;1.242
SOLRE-SUR-SAMBRE;57;36;28
SPA;310;186;421
SPA-GERONSTERE;331;145;192
ST-DENIJS-BOEKEL;170;-;-
ST-DENIS-BOVESSE;310;26;23
ST-GEN-RODE/RHODE-ST-GEN;1.837;321;216
ST-GHISLAIN;1.636;594;483
ST-GILLIS;223;63;47
ST-JOB;1.148;233;190
ST-JORIS-WEERT;426;185;156
ST-KATELIJNE-WAVER;875;328;221
ST-MARIABURG;153;32;19
ST-MARTENS-BODEGEM;568;142;135
ST-NIKLAAS;7.065;4.655;3.756
ST-TRUIDEN;1.274;891;805
STATTE;535;278;225
STOCKEM;74;20;42
SY;86;44;28
TAMINES;1.500;475;371
TEMSE;671;265;328
TERHAGEN;290;80;67
TERNAT;1.032;308;260
TESTELT;336;102;114
THEUX;140;61;65
THIEU;104;25;36
THUIN;211;102;90
THULIN;106;51;51
TIELEN;545;249;369
TIELT;982;516;586
TIENEN;3.963;1.051;879
TILFF;229;84;79
TILLY;179;51;53
TOLLEMBEEK;353;52;55
TONGEREN;693;265;330
TORHOUT;1.746;331;546
TOUR ET TAXIS/THURN EN TAXIS;172;133;140
TOURNAI;6.114;2.706;2.725
TROIS-PONTS;238;154;219
TROOZ;122;71;54
TUBIZE;2.953;1.671;1.175
TURNHOUT;1.311;765;1.057
UCCLE/UKKEL-CALEVOET;1.028;300;166
UCCLE/UKKEL-STALLE;265;149;69
VELTEM;380;151;118
VERTRIJK;377;133;117
VERVIERS-CENTRAL;4.652;2.054;1.720
VERVIERS-PALAIS;91;21;18
VEURNE;463;199;540
VIANE-MOERBEKE;549;56;60
VICHTE;285;-;-
VIELSALM;380;189;270
VIJFHUIZEN;23;-;-
VILLE-POMMEROEUL;20;-;-
VILLERS-LA-VILLE;202;95;59
VILVOORDE;5.440;2.914;2.356
VIRTON;364;104;169
VISE;744;206;218
VIVIER D'OIE/DIESDELLE;875;221;141
VIVILLE;95;36;75
VOROUX;70;33;17
WAARSCHOOT;201;83;52
WALCOURT;190;76;96
WAREGEM;2.576;1.074;1.402
WAREMME;1.890;429;351
WATERLOO;2.381;476;306
WATERMAEL/WATERMAAL;218;175;162
WAVRE;912;362;375
WEERDE;619;222;127
WELKENRAEDT;1.608;1.867;1.117
WELLE;308;148;139
WERVIK;658;345;410
WESPELAAR-TILDONK;499;160;126
WETTEREN;2.361;1.123;1.041
WEVELGEM;433;243;344
WEZEMAAL;903;267;374
WICHELEN;246;107;153
WIJGMAAL;607;176;161
WILDERT;220;42;36
WILLEBROEK;632;280;299
WOLFSTEE;55;-;-
WONDELGEM;160;66;47
YVES-GOMEZEE;45;19;25
YVOIR;754;548;442
ZANDBERGEN;230;84;63
ZAVENTEM;1.531;733;458
ZEDELGEM;635;145;181
ZEEBRUGGE-DORP;477;-;-
ZEEBRUGGE-STRAND;-;160;172
ZELE;787;222;250
ZELLIK;712;158;206
ZICHEM;377;131;158
ZINGEM;382;128;92
ZOLDER;97;16;13
ZONHOVEN;68;10;7
ZOTTEGEM;4.899;1.120;1.210
ZWIJNDRECHT;382;59;60
