Station Gare;Gem. instappende tijdens week Moy. montés en semaine;Gem. instappende op zaterdag Moy. montés le samedi;Gem. instappende op zondag Moy. montés le dimanche;
FEXHE-LE-HT-CLOCHER 180;41;32
FLAWINNE 130;48;50
FLEMALLE-GRANDE 129;30;42
FLEMALLE-HAUTE 1.687;403;260
FLEURUS 466;212;204
FLOREFFE 269;77;93
FLORENVILLE 158;30;60
FLORIVAL 102;36;41
FONTAINE-VALMONT 83;31;27
FORCHIES 152;57;54
FOREST-EST/VORST-OOST 951;309;91
FOREST-MIDI/VORST-ZUID 568;366;168
FORRIERES 35;17;16
FRAIPONT 101;35;29
FRAMERIES 273;161;139
FRANCHIMONT 154;30;29
FRANIERE 204;42;42
FROYENNES 850;84;54
GALMAARDEN 516;172;141
GASTUCHE 206;67;75
GAVERE-ASPER 486;130;88
GEDINNE 197;53;123
GEEL 1.484;482;451
GEMBLOUX 5.247;2.164;1.920
GENDRON-CELLES 48;98;138
GENK 1.350;953;1.163
GENLY 114;42;32
GENT-DAMPOORT 4.960;2.969;2.812
GENT-SINT-PIETERS 48.441;25.578;23.452
GENTBRUGGE 313;209;165
GENVAL 1.402;434;353
GERAARDSBERGEN 2.928;1.110;1.016
GERMOIR/MOUTERIJ 187;82;100
GHLIN 80;-;-
GLONS 174;87;71
GODARVILLE 112;31;26
GODINNE 495;201;215
GONTRODE 105;48;37
GOUVY 266;92;149
GOUY-LEZ-PIETON 107;50;21
GRAIDE 82;33;51
GROENENDAAL 652;264;258
GROOT-BIJGAARDEN 561;171;153
GRUPONT 68;41;30
HAACHT 636;213;233
HAALTERT 727;142;129
HABAY 125;29;39
HAININ 69;34;32
HALANZY 104;21;22
HALLE 7.592;3.078;2.624
HAM-SUR-HEURE 99;19;27
HAMBOS 37;-;-
HAMOIR 265;64;78
HAMONT 128;106;178
HANSBEKE 336;113;92
HARCHIES 22;-;-
HARELBEKE 1.057;435;499
HAREN 81;66;62
HAREN-ZUID/SUD 980;591;340
HASSELT 7.396;4.738;4.955
HAUTE-FLONE 139;32;23
HAVERSIN 96;23;24
HAVRE 97;30;32
HEIDE 996;246;265
HEIST 387;336;305
HEIST-OP-DEN-BERG 1.805;1.027;841
HEIZIJDE 537;91;107
HEMIKSEM 344;156;136
HENNUYERES 504;243;127
HERENT 591;255;135
HERENTALS 2.789;2.154;2.131
HERGENRATH 36;37;26
HERNE 526;147;122
HERSEAUX 550;181;225
HERSTAL 739;382;282
HERZELE 473;94;94
HEUSDEN 104;50;52
HEVER 128;114;90
HEVERLEE 775;273;246
HILLEGEM 168;35;34
HOBOKEN-POLDER 387;155;128
HOEILAART 299;172;112
HOFSTADE 114;-;-
HOLLEKEN 191;278;69
HONY 103;27;37
HOURAING 176;84;54
HOURPES 15;-;-
HOUYET 114;42;53
HOVE 540;402;311
HUIZINGEN 273;62;54
HUY 2.182;695;613
IDDERGEM 298;63;67
IDEGEM 234;57;54
IEPER 1.175;738;840
INGELMUNSTER 658;247;224
IZEGEM 1.274;376;401
JAMBES 1.545;403;384
JAMBES-EST 238;63;51
JAMIOULX 46;8;13
JEMAPPES 502;290;235
JEMEPPE-SUR-MEUSE 211;59;53
JEMEPPE-SUR-SAMBRE 449;268;212
JETTE 3.033;1.195;1.023
JURBISE 1.675;814;666
JUSLENVILLE 82;42;36
KALMTHOUT 766;204;201
