Station Gare;Gem. instappende tijdens week Moy. montés en semaine;Gem. instappende op zaterdag Moy. montés le samedi;Gem. instappende op zondag Moy. montés le dimanche
EZEMAAL;233;114;81
FAMILLEUREUX;67;-;-
FARCIENNES;165;25;25
FAUX;153;23;20
FEXHE-LE-HT-CLOCHER;140;29;16
FLAWINNE;70;8;4
FLEMALLE-GRANDE;91;29;22
FLEMALLE-HAUTE;1.198;354;294
FLEURUS;420;168;139
FLOREFFE;169;35;31
FLORENVILLE;160;57;146
FLORIVAL;93;9;10
FONTAINE-VALMONT;78;27;26
FORCHIES;134;32;24
FOREST-EST/VORST-OOST;439;351;82
FOREST-MIDI/VORST-ZUID;368;56;33
FORRIERES;37;43;13
FRAIPONT;90;44;35
FRAMERIES;258;-;-
FRANCHIMONT;303;20;18
FRANIERE;138;31;23
FROYENNES;863;46;36
GALMAARDEN;354;44;52
GASTUCHE;227;20;22
GAVERE-ASPER;508;109;84
GEDINNE;108;47;112
GEEL;1.686;615;635
GEMBLOUX;6.738;1.591;1.736
GENDRON-CELLES;25;19;18
GENK;888;715;1.422
GENLY;137;-;-
GENT-DAMPOORT;6.312;2.174;1.811
GENT-SINT-PIETERS;55.325;25.486;20.416
GENTBRUGGE;460;166;69
GENVAL;1.493;378;391
GERAARDSBERGEN;2.656;857;711
GERMOIR/MOUTERIJ;406;10;4
GHLIN;56;-;-
GLONS;113;34;29
GODARVILLE;110;25;20
GODINNE;367;135;136
GONTRODE;152;49;25
GOUVY;198;106;120
GOUY-LEZ-PIETON;109;15;13
GRAIDE;73;56;80
GROENENDAAL;696;178;181
GROOT-BIJGAARDEN;514;101;72
GRUPONT;41;31;22
HAACHT;685;166;182
HAALTERT;457;122;130
HABAY;46;23;30
HAININ;100;39;32
HALANZY;78;-;-
HALLE;9.424;2.018;1.607
HAM-SUR-HEURE;67;13;32
HAMBOS;39;-;-
HAMOIR;208;65;56
HAMONT;171;45;121
HANSBEKE;246;62;62
HARCHIES;17;-;-
HARELBEKE;1.076;402;436
HAREN;276;25;12
HAREN-ZUID/SUD;489;101;66
HASSELT;7.279;2.839;2.777
HAUTE-FLONE;99;26;13
HAVERSIN;90;28;18
HAVRE;90;8;24
HEIDE;1.149;348;332
HEIST;414;208;258
HEIST-OP-DEN-BERG;1.744;896;762
HEIZIJDE;276;42;30
HEMIKSEM;262;42;68
HENNUYERES;438;125;88
HERENT;605;127;112
HERENTALS;3.881;1.161;1.115
HERGENRATH;43;24;15
HERNE;326;65;63
HERSEAUX;576;215;165
HERSTAL;328;282;202
HERZELE;459;125;133
HEUSDEN;148;64;55
HEVER;135;-;-
HEVERLEE;533;37;43
HILLEGEM;103;-;-
HOBOKEN-POLDER;344;102;89
HOEILAART;234;116;113
HOFSTADE;63;-;-
HOLLEKEN;170;165;86
HONY;36;19;18
HOURAING;144;32;25
HOURPES;7;-;-
HOUYET;91;48;40
HOVE;523;112;150
HUIZINGEN;227;-;-
HUY;2.058;719;592
IDDERGEM;177;44;45
IDEGEM;199;43;34
IEPER;1.190;613;718
INGELMUNSTER;782;200;186
IZEGEM;1.343;368;397
JAMBES;1.118;429;300
JAMBES-EST;129;44;23
JAMIOULX;35;11;14
JEMAPPES;526;210;159
JEMEPPE-SUR-MEUSE;132;27;22
JEMEPPE-SUR-SAMBRE;343;200;157
JETTE;3.484;726;585
JURBISE;1.596;1.931;1.726
JUSLENVILLE;119;37;35
KALMTHOUT;1.016;258;287
KAPELLE-OP-DEN-BOS;452;144;140
KAPELLEN;1.412;390;437
KESSEL;443;146;141
KIEWIT;670;107;219
KIJKUIT;207;88;78
KNOKKE;786;778;971
KOKSIJDE;296;114;313
KONTICH-LINT;979;275;339
KORTEMARK;524;178;373
KORTENBERG;751;170;122
KORTRIJK;8.581;4.058;4.081
KWATRECHT;84;43;54
LA HULPE;1.305;331;321
LA LOUVIERE-CENTRE;1.330;935;704
LA LOUVIERE-SUD;3.124;1.148;1.293
LA ROCHE;164;25;24
LABUISSIERE;70;20;15
LANDEGEM;654;108;101
LANDELIES;59;12;9
LANDEN;3.448;1.353;1.305
LANDSKOUTER;87;-;-
LANGDORP;220;72;98
LE CAMPINAIRE;73;-;-
LEBBEKE;401;68;54
LEDE;1.435;445;404
LEIGNON;45;22;8
LEMAN;76;-;-
LEMBEEK;601;201;133
LENS;177;46;28
LEOPOLDSBURG;380;220;110
LESSINES;629;174;134
LEUVEN;34.688;13.676;11.375
LEUZE;2.087;392;409
LEVAL;138;47;33
LIBRAMONT;1.995;905;1.510
LICHTERVELDE;3.300;2.096;2.322
LIEDEKERKE;2.143;727;679
LIEGE-CARRE;1.371;511;349
LIEGE-GUILLEMINS;17.931;12.964;11.376
LIEGE-SAINT-LAMBERT;2.840;1.463;1.109
LIER;5.724;2.037;2.092
LIERDE;469;98;96
LIERS;266;111;71
LIGNY;159;32;24
LILLOIS;615;174;99
LIMAL;328;17;22
LINKEBEEK;1.086;363;276
LISSEWEGE;207;30;51
LOBBES;126;38;41
LODELINSART;107;25;17
LOKEREN;5.249;2.318;1.381
LOMMEL;449;140;283
LONDERZEEL;960;191;210
LONZEE;148;22;11
LOT;586;239;155
LOUVAIN-LA-NEUVE;6.237;2.753;1.495
LUSTIN;392;183;173
LUTTRE;1.994;520;433
MAFFLE;167;41;30
MALDEREN;400;135;134
MANAGE;289;55;53
MARBEHAN;555;343;898
MARCHE-EN-FAMENNE;356;97;145
MARCHE-LES-DAMES;64;6;11
MARCHE-LEZ-ECAUSSINNES;132;-;-
MARCHIENNE-AU-PONT;1.490;624;534
MARCHIENNE-ZONE;19;3;9
MARIA-AALTER;205;70;55
MARIEMBOURG;397;163;297
MARLOIE;1.527;825;1.006
MASNUY-SAINT-PIERRE;30;-;-
MAUBRAY;15;-;-
MAZY;24;-;-
MECHELEN;21.616;10.321;9.731
MECHELEN-NEKKERSPOEL;2.180;1.117;855
MEISER;761;58;32
MELKOUWEN;201;87;71
MELLE;898;201;164
MELREUX-HOTTON;334;81;165
MELSELE;298;-;-
MENEN;864;424;364
MERCHTEM;799;180;179
MERELBEKE;828;214;149
MERODE;550;-;-
MERY;59;22;10
MESSANCY;108;-;-
MEVERGNIES-ATTRE;84;-;-
MILMORT;373;89;63
MOENSBERG;245;-;-
MOL;2.186;1.450;1.578
MOLLEM;280;73;66
MOMALLE;111;14;14
MONS;9.820;3.839;2.498
MONT-SAINT-GUIBERT;445;73;61
MOORTSELE;157;26;21
MORLANWELZ;288;47;27
MORTSEL;548;106;67
MORTSEL-DEURNESTEENWEG;-;-;31
MORTSEL-LIERSESTEENWEG;197;45;1
MORTSEL-OUDE-GOD;1.109;442;388
MOUSCRON/MOESKROEN;1.855;970;1.237
MOUSTIER;183;48;36
MUIZEN;204;75;99
MUNKZWALM;225;70;80
NAMECHE;122;10;15
NAMUR;21.768;8.718;7.657
NANINNE;179;55;27
NATOYE;181;68;43
NEERPELT;344;103;266
NEERWINDEN;186;70;52
NESSONVAUX;267;112;81
NEUFCHATEAU;95;47;29
NEUFVILLES;54;-;-
NIEL;285;51;50
NIEUWKERKEN-WAAS;312;19;18
NIJLEN;623;249;234
NIMY;88;11;14
NINOVE;1.352;336;240
NIVELLES;4.866;1.444;902
NOORDERKEMPEN;1.237;605;481
NOSSEGEM;407;136;77
OBAIX-BUZET;184;-;-
OBOURG;49;-;-
OKEGEM;209;57;48
OLEN;598;177;235
OOSTENDE;7.017;6.642;6.304
OOSTKAMP;195;45;71
OPWIJK;1.101;410;302
OTTIGNIES;23.508;9.202;8.424
OUD-HEVERLEE;130;14;16
OUDEGEM;181;-;-
OUDENAARDE;3.814;1.027;722
OUGREE;65;31;21
OVERPELT;248;71;146
PALISEUL;65;26;51
PAPIGNIES;110;21;13
PECROT;229;19;21
PEPINSTER;1.799;385;375
PEPINSTER-CITE;55;16;18
PERUWELZ;784;235;150
PHILIPPEVILLE;372;59;82
PIETON;130;33;14
POIX-SAINT-HUBERT;21;30;37
PONT-A-CELLES;112;25;10
PONT-DE-SERAING;239;17;27
POPERINGE;564;309;593
POULSEUR;196;92;82
PROFONDSART;202;112;120
PRY;25;-;-
PUURS;1.516;534;447
QUAREGNON;533;211;144
QUEVY;175;-;-
QUIEVRAIN;403;165;183
REBAIX;106;19;12
REMICOURT;149;39;28
RHISNES;234;40;34
RIVAGE;164;53;63
RIXENSART;1.438;366;365
ROCHEFORT-JEMELLE;647;277;402
ROESELARE;2.787;882;1.120
RONET;47;8;8
RONSE/RENAIX;1.212;484;275
ROUX;134;32;16
RUISBR.-SAUVEGARDE;222;33;23
RUISBROEK;729;247;200
SART-BERNARD;122;44;27
SCHAARBEEK/SCHAERBEEK;3.172;1.098;675
SCHELDEWINDEKE;366;70;74
SCHELLE;262;51;33
SCHELLEBELLE;560;102;84
SCHENDELBEKE;238;58;46
SCHOONAARDE;257;126;136
SCHULEN;242;106;186
SCLAIGNEAUX;93;10;12
SCLESSIN;38;-;-
SERAING;294;89;77
SERSKAMP;205;53;52
SILLY;1.119;199;188
SIMONIS;99;40;40
SINAAI;433;69;72
SLEIDINGE;269;62;42
SOIGNIES;2.371;674;548
SOLRE-SUR-SAMBRE;77;30;26
SPA;414;207;153
SPA-GERONSTERE;382;172;124
ST-DENIJS-BOEKEL;152;-;-
ST-DENIS-BOVESSE;189;29;21
ST-GEN-RODE/RHODE-ST-GEN;1.664;540;382
ST-GHISLAIN;2.015;624;519
ST-GILLIS;168;20;16
ST-JOB;956;99;117
ST-JORIS-WEERT;329;25;29
ST-KATELIJNE-WAVER;933;225;164
ST-MARIABURG;247;100;70
ST-MARTENS-BODEGEM;366;133;78
ST-NIKLAAS;8.409;6.844;6.007
ST-TRUIDEN;1.545;893;904
STATTE;396;275;220
STOCKEM;26;6;10
SY;49;12;12
TAMINES;1.606;364;365
TEMSE;674;237;201
TERHAGEN;196;-;-
TERNAT;984;241;176
TESTELT;335;72;98
THEUX;141;55;38
THIEU;99;19;25
THUIN;259;61;54
THULIN;127;53;52
TIELEN;675;327;441
TIELT;956;397;514
TIENEN;3.963;1.692;1.135
TILFF;124;27;41
TILLY;200;28;24
TOLLEMBEEK;258;58;58
TONGEREN;680;175;191
TORHOUT;1.757;364;397
TOUR ET TAXIS/THURN EN TAXIS;75;45;58
TOURNAI;6.316;2.478;2.089
TROIS-PONTS;154;113;213
TROOZ;119;44;37
TUBIZE;2.642;1.376;971
TURNHOUT;1.581;594;1.101
UCCLE/UKKEL-CALEVOET;944;331;169
UCCLE/UKKEL-STALLE;253;200;86
VELTEM;339;92;90
VERTRIJK;496;154;139
VERVIERS-CENTRAL;4.202;2.640;2.642
VERVIERS-PALAIS;8;24;20
VEURNE;506;212;400
VIANE-MOERBEKE;429;68;66
VICHTE;212;-;-
VIELSALM;219;114;173
VIJFHUIZEN;38;-;-
VILLE-POMMEROEUL;28;-;-
VILLERS-LA-VILLE;274;47;52
VILVOORDE;6.196;2.249;1.671
VIRTON;353;85;206
VISE;821;242;201
VIVIER D'OIE/DIESDELLE;788;81;80
VIVILLE;30;13;16
VOROUX;60;-;-
WAARSCHOOT;263;71;87
WALCOURT;282;97;111
WAREGEM;2.473;933;942
WAREMME;2.283;522;347
WATERLOO;2.212;791;516
WATERMAEL/WATERMAAL;194;129;133
WAVRE;962;170;220
WEERDE;719;108;108
WELKENRAEDT;1.755;1.430;1.004
WELLE;128;-;-
WERVIK;719;304;280
WESPELAAR-TILDONK;526;151;146
WETTEREN;2.535;930;827
WEVELGEM;458;175;192
WEZEMAAL;739;301;245
WICHELEN;204;-;-
WIJGMAAL;640;126;115
WILDERT;283;131;137
WILLEBROEK;608;230;212
WOLFSTEE;36;-;-
WONDELGEM;185;65;25
YVES-GOMEZEE;48;19;16
YVOIR;728;627;536
ZANDBERGEN;193;55;42
ZAVENTEM;1.538;423;395
ZEDELGEM;599;123;139
ZEEBRUGGE-DORP;290;-;-
ZEEBRUGGE-STRAND;-;35;42
ZELE;940;173;147
ZELLIK;541;134;95
ZICHEM;293;94;76
ZINGEM;523;98;86
ZOLDER;123;38;37
ZONHOVEN;67;29;19
ZOTTEGEM;4.936;986;931
ZWIJNDRECHT;401;43;44
