Station Gare;Gem. instappende tijdens week Moy. montés en semaine;Gem. instappende op zaterdag Moy. montés le samedi;Gem. instappende op zondag Moy. montés le dimanche
AALST;6.444;1.768;1.592
AALST-KERREBROEK;27;-;-
AALTER;2.288;1.055;855
AARSCHOT;6.270;1.954;1.395
AARSELE;34;-;-
ACREN;226;43;50
AISEAU;100;15;17
ALKEN;647;254;310
AMAY;262;68;50
AMPSIN;134;30;20
ANDENNE;1.746;499;427
ANGLEUR;565;147;126
ANS;1.040;118;88
ANSEREMME;51;124;45
ANTOING;293;123;107
ANTWERPEN-BERCHEM;17.289;8.163;8.506
ANTWERPEN-CAAL;39.628;23.918;18.553
ANTWERPEN-LUCHTBAL;1.082;161;93
ANTWERPEN-NOORDERDOKKEN;263;43;16
ANTWERPEN-ZUID;3.262;164;175
ANZEGEM;188;-;-
APPELTERRE;213;60;54
ARCADES;86;-;-
ARCHENNES;148;10;11
ARLON;5.476;1.331;3.075
ASSE;1.085;239;182
ASSESSE;212;57;40
ATH;5.256;1.592;1.712
ATHUS;989;219;169
AUBANGE;62;-;-
AUVELAIS;492;230;174
AYE;45;17;15
AYWAILLE;180;87;95
BAASRODE-ZUID;216;-;-
BALEGEM-DORP;291;74;72
BALEGEM-ZUID;222;-;-
BALEN;285;98;71
BAMBRUGGE;50;-;-
BARVAUX;334;109;132
BAS-OHA;56;19;31
BASSE-WAVRE;434;31;33
BEAURAING;260;83;166
BEERNEM;601;172;138
BEERSEL;197;-;-
BEERVELDE;214;53;38
BEGIJNENDIJK;315;108;123
BEIGNEE;20;-;-
BELLEM;179;45;53
BELSELE;431;51;41
BERCHEM-ST-AG.-BERCHEM;793;168;132
BERINGEN;135;54;40
BERLAAR;375;152;193
BERTRIX;329;105;189
BERZEE;132;28;25
BEUZET;141;21;17
BEVEREN;1.305;73;71
BEVERLO;146;53;37
BIERGES-WALIBI;146;504;562
BIERSET-AWANS;121;34;27
BILZEN;555;106;107
BINCHE;335;187;154
BISSEGEM;272;85;131
BLANKENBERGE;1.790;1.348;1.679
BLANMONT;172;22;16
BLATON;536;190;141
BLERET;51;-;-
BOCKSTAEL;929;129;107
BOECHOUT;424;143;186
BOITSFORT/BOSVOORDE;1.002;155;185
BOKRIJK;171;73;157
BOMAL;236;65;112
BOOISCHOT;293;118;79
BOOM;428;34;36
BOONDAEL/BOONDAAL;1.106;129;103
BOORTMEERBEEK;604;196;185
BORDET;1.633;165;126
BORNEM;830;265;221
BOUSSU;184;106;91
BOUWEL;467;149;199
BRACQUEGNIES;119;25;25
BRAINE-l'ALLEUD;6.133;2.184;1.611
BRAINE-LE-COMTE;5.298;1.375;1.093
BRESSOUX;145;46;29
BRU.-CENT.;60.706;23.336;22.027
BRU.-CHAP./KAP.;107;-;-
BRU.-CONG.;465;-;-
BRU.-LUXEMBG;8.743;2.405;1.996
BRU.-MIDI/ZUID;59.670;23.733;24.534
BRU.-NOORD/NORD;63.779;25.820;21.621
BRU.-SCHUMAN;8.458;1.943;2.163
BRU.-WEST/OUEST;127;51;33
BRU. AIRPORT - ZAVENTEM;10.751;6.386;7.456
BRUGELETTE;294;57;45
BRUGGE;18.091;12.737;12.249
BRUGGE-SINT-PIETERS;99;12;7
BUDA;65;-;-
BUGGENHOUT;562;236;187
BUIZINGEN;514;175;114
BURST;927;128;110
CALLENELLE;12;-;-
CAMBRON-CASTEAU;156;251;146
CARLSBOURG;44;11;34
CARNIERES;111;38;22
CEROUX-MOUSTY;170;27;20
CHAPELLE-DIEU;47;-;-
CHAPOIS;48;29;14
CHARLEROI-OUEST;93;14;15
CHARLEROI-SUD;11.786;5.490;4.464
CHASTRE;370;79;48
CHATEAU-DE-SEILLES;136;25;14
CHATELET;702;209;202
CHAUDFONTAINE;94;21;12
CHENEE;94;21;17
CINEY;2.127;805;1.090
COMBLAIN-LA-TOUR;127;44;54
COMINES/KOMEN;462;163;279
COO;35;50;66
COUILLET;88;-;-
COUR-SUR-HEURE;32;16;9
COURCELLES-MOTTE;167;19;17
COURRIERE;219;61;40
COURT-SAINT-ETIENNE;371;50;37
COUVIN;134;28;29
DAVE-SAINT-MARTIN;86;36;22
DE HOEK;204;192;91
DE PANNE;876;601;731
DE PINTE;1.569;431;420
DEINZE;2.050;633;739
DELTA;396;-;-
DENDERLEEUW;11.196;2.076;1.843
DENDERMONDE;5.757;1.363;1.492
DIEGEM;1.357;453;337
DIEPENBEEK;522;73;75
DIEST;3.072;780;720
DIKSMUIDE;569;244;415
DILBEEK;715;139;164
DINANT;1.107;403;458
DOLHAIN-GILEPPE;122;29;19
DRONGEN;434;68;84
DUFFEL;856;328;216
DUINBERGEN;212;114;118
ECAUSSINNES;710;286;257
EDE;431;-;-
EEKLO;820;326;211
EICHEM;93;24;21
EINE;491;107;64
EKE-NAZARETH;417;90;68
EKEREN;1.206;286;285
ENGHIEN/EDINGEN;3.913;929;789
ENGIS;175;33;36
EPPEGEM;871;131;119
ERBISOEUL;63;-;-
EREMBODEGEM;1.001;263;218
ERNAGE;107;25;22
ERPE-MERE;59;-;-
ERPS-KWERPS;289;50;54
ERQUELINNES;197;93;114
ERQUELINNES-VILLAGE;42;11;9
ESNEUX;176;60;78
ESSEN;1.668;491;442
ESSENE-LOMBEEK;327;67;56
ETTERBEEK;7.924;819;693
EUPEN;560;582;420
EVERE;690;48;31
EVERGEM;351;52;76
