Station Gare;Gem. instappende tijdens week Moy. montés en semaine;Gem. instappende op zaterdag Moy. montés le samedi;Gem. instappende op zondag Moy. montés le dimanche
GENK;695;325;764
GENLY;85;-;-
GENT-DAMPOORT;4.183;1.516;1.271
GENT-SINT-PIETERS;25.717;13.211;12.766
GENTBRUGGE;317;137;89
GENVAL;915;274;256
GERAARDSBERGEN;2.093;627;581
GERMOIR/MOUTERIJ;324;53;51
GHLIN;30;-;-
GLONS;68;13;10
GODARVILLE;58;13;14
GODINNE;273;136;153
GONTRODE;88;36;28
GOUVY;211;64;133
GOUY-LEZ-PIETON;56;14;16
GRAIDE;49;28;72
GROENENDAAL;357;130;123
GROOT-BIJGAARDEN;332;44;39
GRUPONT;35;16;15
HAACHT;344;58;57
HAALTERT;240;91;88
HABAY;41;8;9
HAININ;66;35;12
HALANZY;56;-;-
HALLE;5.458;1.951;1.550
HAM-SUR-HEURE;71;19;21
HAMBOS;23;-;-
HAMOIR;149;48;52
HAMONT;98;22;101
HANSBEKE;145;45;53
HARCHIES;10;-;-
Page 4 of 10
HARELBEKE;675;178;202
HAREN;174;28;22
HAREN-ZUID/SUD;454;181;104
HASSELT;4.226;3.304;4.055
HAUTE-FLONE;68;17;7
HAVERSIN;68;14;13
HAVRE;61;21;15
HEIDE;675;285;270
HEIST;293;166;99
HEIST-OP-DEN-BERG;1.133;578;607
HEIZIJDE;171;77;41
HEMIKSEM;176;84;79
HENNUYERES;287;92;74
HERENT;305;140;67
HERENTALS;2.261;2.467;2.259
HERGENRATH;21;21;21
HERNE;239;54;52
HERSEAUX;459;122;136
HERSTAL;232;161;124
HERZELE;276;108;121
HEUSDEN;86;44;25
HEVER;65;-;-
HEVERLEE;426;77;60
HILLEGEM;87;-;-
HOBOKEN-POLDER;211;91;63
HOEILAART;160;88;74
HOFSTADE;35;-;-
HOLLEKEN;102;79;34
HONY;38;18;16
HOURAING;107;54;41
HOURPES;8;-;-
HOUYET;67;38;33
HOVE;298;155;80
HUIZINGEN;246;29;25
HUY;1.465;569;516
IDDERGEM;131;40;36
IDEGEM;141;42;34
IEPER;936;399;436
INGELMUNSTER;502;199;307
IZEGEM;929;358;363
JAMBES;834;289;280
JAMBES-EST;153;25;13
JAMIOULX;31;4;10
JEMAPPES;418;153;121
JEMEPPE-SUR-MEUSE;87;35;16
JEMEPPE-SUR-SAMBRE;280;149;137
JETTE;2.116;641;526
JURBISE;1.054;488;351
JUSLENVILLE;94;42;39
KALMTHOUT;550;211;214
KAPELLE-OP-DEN-BOS;235;125;120
KAPELLEN;954;345;347
KESSEL;232;94;115
KIEWIT;267;32;95
KIJKUIT;151;63;52
KNOKKE;537;294;160
KOKSIJDE;229;113;295
KONTICH-LINT;540;314;146
Page 5 of 10
KORTEMARK;381;180;330
KORTENBERG;406;201;127
KORTRIJK;6.310;2.723;2.785
KWATRECHT;81;20;25
LA HULPE;833;206;157
LA LOUVIERE-CENTRE;950;643;500
LA LOUVIERE-SUD;1.853;1.004;843
LA ROCHE;118;18;25
LABUISSIERE;59;26;8
LANDEGEM;351;87;72
LANDELIES;55;16;10
LANDEN;1.522;622;693
LANDSKOUTER;46;-;-
LANGDORP;101;53;28
LE CAMPINAIRE;41;-;-
LEBBEKE;227;74;63
LEDE;818;339;293
LEIGNON;20;5;5
LEMAN;44;-;-
LEMBEEK;485;175;95
LENS;114;18;19
LEOPOLDSBURG;280;131;75
LESSINES;499;234;154
LEUVEN;18.054;7.356;5.727
LEUZE;1.217;722;591
LEVAL;79;31;31
LIBRAMONT;1.464;635;1.094
LICHTERVELDE;2.656;1.432;2.116
LIEDEKERKE;1.216;606;523
LIEGE-CARRE;957;439;340
LIEGE-GUILLEMINS;10.938;6.442;6.547
LIEGE-SAINT-LAMBERT;1.843;974;794
LIER;3.692;1.462;1.720
LIERDE;277;48;74
LIERS;161;54;35
LIGNY;98;27;18
LILLOIS;413;101;57
LIMAL;248;57;38
LINKEBEEK;634;264;146
LISSEWEGE;130;49;42
LOBBES;121;42;25
LODELINSART;67;16;17
LOKEREN;3.281;1.237;1.142
LOMMEL;303;71;165
LONDERZEEL;569;151;175
LONZEE;95;31;10
LOT;455;195;90
LOUVAIN-LA-NEUVE;3.924;1.632;1.051
LUSTIN;240;115;131
LUTTRE;1.264;472;437
MAFFLE;87;26;22
MALDEREN;207;88;87
MANAGE;204;46;39
MARBEHAN;388;187;605
MARCHE-EN-FAMENNE;265;88;125
MARCHE-LES-DAMES;45;6;7
MARCHE-LEZ-ECAUSSINNES;93;-;-
MARCHIENNE-AU-PONT;1.086;408;403
Page 6 of 10
MARCHIENNE-ZONE;20;9;3
MARIA-AALTER;130;38;52
MARIEMBOURG;142;60;61
MARLOIE;1.182;630;701
MASNUY-SAINT-PIERRE;19;-;-
MAUBRAY;19;-;-
MAZY;36;-;-
MECHELEN;10.731;5.669;4.522
MECHELEN-NEKKERSPOEL;1.378;849;657
MEISER;490;77;59
MELKOUWEN;99;56;51
MELLE;592;114;131
MELREUX-HOTTON;205;91;117
MELSELE;115;223;101
MENEN;704;346;285
MERCHTEM;494;160;105
MERELBEKE;509;148;126
MERODE;270;-;-
MERY;63;22;20
MESSANCY;86;-;-
MEVERGNIES-ATTRE;56;-;-
MILMORT;218;58;65
MOENSBERG;352;54;47
MOL;1.611;1.045;873
MOLLEM;170;59;58
MOMALLE;93;12;15
MONS;6.475;2.328;1.913
MONT-SAINT-GUIBERT;358;85;36
MOORTSELE;81;31;30
MORLANWELZ;247;39;25
MORTSEL;337;102;47
MORTSEL-DEURNESTEENWEG;-;-;18
MORTSEL-LIERSESTEENWEG;118;78;-
MORTSEL-OUDE-GOD;510;328;306
MOUSCRON/MOESKROEN;1.416;728;849
MOUSTIER;160;65;53
MUIZEN;101;47;46
MUNKZWALM;178;71;53
NAMECHE;98;11;15
NAMUR;14.126;6.157;4.474
NANINNE;133;25;17
NATOYE;129;64;35
NEERPELT;232;72;200
NEERWINDEN;95;127;109
NESSONVAUX;202;131;88
NEUFCHATEAU;88;17;20
NEUFVILLES;34;-;-
NIEL;188;113;94
NIEUWKERKEN-WAAS;136;25;19
NIJLEN;414;176;175
NIMY;67;30;18
NINOVE;988;126;113
NIVELLES;3.558;1.209;924
NOORDERKEMPEN;550;225;409
NOSSEGEM;205;103;71
OBAIX-BUZET;112;-;-
OBOURG;27;-;-
OKEGEM;162;43;41
Page 7 of 10
OLEN;371;137;140
OOSTENDE;4.409;3.593;3.701
OOSTKAMP;104;45;28
OPWIJK;613;154;151
OTTIGNIES;19.789;8.579;8.060
OUD-HEVERLEE;88;19;41
OUDEGEM;105;-;-
OUDENAARDE;1.754;871;571
OUGREE;61;20;31
OVERPELT;174;44;69
PALISEUL;53;37;35
PAPIGNIES;63;20;14
PECROT;173;44;34
PEPINSTER;832;228;337
PEPINSTER-CITE;55;8;10
PERUWELZ;588;141;163
PHILIPPEVILLE;336;50;59
PIETON;85;24;9
POIX-SAINT-HUBERT;28;9;24
PONT-A-CELLES;54;19;19
PONT-DE-SERAING;130;24;5
POPERINGE;450;196;321
POULSEUR;139;49;38
PROFONDSART;110;72;78
PRY;19;-;-
PUURS;1.003;484;467
QUAREGNON;375;161;126
QUEVY;128;-;-
QUIEVRAIN;261;146;111
REBAIX;76;19;19
REMICOURT;130;29;30
RHISNES;147;47;17
RIVAGE;127;43;51
RIXENSART;863;215;247
ROCHEFORT-JEMELLE;444;448;443
ROESELARE;1.990;892;853
RONET;40;31;30
RONSE/RENAIX;791;148;233
ROUX;92;26;23
RUISBR.-SAUVEGARDE;121;49;38
RUISBROEK;572;253;136
SART-BERNARD;89;25;15
SCHAARBEEK/SCHAERBEEK;1.849;789;443
SCHELDEWINDEKE;222;50;47
SCHELLE;156;92;50
SCHELLEBELLE;310;65;46
SCHENDELBEKE;159;44;35
SCHOONAARDE;152;68;87
SCHULEN;134;59;176
SCLAIGNEAUX;85;15;12
SCLESSIN;34;-;-
SERAING;220;65;44
SERSKAMP;108;31;23
SILLY;751;161;171
SIMONIS;94;41;40
SINAAI;211;45;36
SLEIDINGE;180;54;27
SOIGNIES;1.800;603;426
Page 8 of 10
SOLRE-SUR-SAMBRE;71;29;14
SPA;270;147;130
SPA-GERONSTERE;330;168;156
ST-DENIJS-BOEKEL;122;-;-
ST-DENIS-BOVESSE;104;33;11
ST-GEN-RODE/RHODE-ST-GEN;1.016;385;258
ST-GHISLAIN;1.426;325;267
ST-GILLIS;85;25;20
ST-JOB;715;148;121
ST-JORIS-WEERT;212;70;56
ST-KATELIJNE-WAVER;554;169;101
ST-MARIABURG;176;96;70
ST-MARTENS-BODEGEM;241;37;29
ST-NIKLAAS;4.907;1.974;1.849
ST-TRUIDEN;922;228;284
STATTE;307;117;106
STOCKEM;10;6;6
SY;26;12;22
TAMINES;1.151;595;559
TEMSE;405;144;185
TERHAGEN;114;-;-
TERNAT;571;288;203
TESTELT;174;87;60
THEUX;142;50;52
THIEU;80;20;10
THUIN;211;77;41
THULIN;87;57;31
TIELEN;418;158;238
TIELT;661;269;364
TIENEN;2.500;495;510
TILFF;80;34;29
