Station Gare;Gem. instappende tijdens het week Moy. montés en semaine;Gem. instappende op zaterdag Moy. montés le samedi;Gem. instappende op zondag Moy. montés le dimanche
GODINNE;441;173;183
GONTRODE;160;70;34
GOUVY;230;70;143
GOUY-LEZ-PIETON;186;14;11
GRAIDE;103;38;111
GROENENDAAL;360;80;95
GROOT-BIJGAARDEN;479;70;36
GRUPONT;86;11;19
HAACHT;943;216;196
HAALTERT;543;74;89
HABAY;102;11;18
HAININ;115;26;31
HALANZY;92
HALLE;5.562;1.497;1.180
HAM-SUR-HEURE;43;16;16
HAM-SUR-SAMBRE;28
HAMBOS;44
HAMOIR;257;78;93
HANSBEKE;290;86;63
HARCHIES;54
HARELBEKE;1.289;349;398
HAREN;248
HAREN-ZUID/SUD;397;75;51
HASSELT;7.126;3.077;2.893
HAUTE-FLONE;178;15;16
HAVERSIN;155;17;19
HAVRE;93;11;13
HEIDE;905;282;269
HEIST;413;188;201
HEIST-OP-DEN-BERG;1.766;908;703
HEIZIJDE;188;17;26
HEMIKSEM;161
HENNUYERES;293;81;63
HERENT;402;71;70
HERENTALS;4.620;987;1.016
HERGENRATH;21;6;12
HERNE;401;29;4
HERSEAUX;613;148;235
HERSTAL;461;105;92
HERZELE;612;105;96
HEUSDEN;245;80;112
HEVER;127
HEVERLEE;462;81;92
HILLEGEM;69
HOBOKEN-POLDER;121
HOEILAART;155;50;63
HOFSTADE;69
HOLLEKEN;150;63;58
HONY;79;13;13
HOURAING;183;27;16
HOURPES;11
HOUYET;86;42;57
HOVE;509;114;120
HUIZINGEN;298
HUY;2.772;766;738
IDDERGEM;140;45;25
IDEGEM;210;52;32
IEPER;1.169;526;599
INGELMUNSTER;640;157;96
IZEGEM;1.438;485;633
JAMBES;970;261;274
JAMBES-EST;120;36;13
JAMIOULX;32;14;13
JEMAPPES;687;374;215
JEMELLE;765;397;480
JEMEPPE-SUR-MEUSE;133;29;30
JEMEPPE-SUR-SAMBRE;512;164;141
JETTE;2.354;365;267
JURBISE;1.119;482;373
JUSLENVILLE;127;35;36
KALMTHOUT;772;206;192
KAPELLE-OP-DEN-BOS;437;126;173
KAPELLEN;1.003;323;278
KESSEL;435;123;86
KIEWIT;433;131;178
KIJKUIT;138;100;48
KNOKKE;741;505;812
KOKSIJDE;158;212;379
KONTICH;962;286;289
KORTEMARK;455;179;292
KORTENBERG;590;138;81
KORTRIJK;9.637;4.908;4.865
KWATRECHT;78;37;35
LA HULPE;1.510;224;199
LA LOUVIERE-SUD;2.657;872;786
LA LOUVIERE CENTRE;1.389;416;372
LA ROCHE;190;34;28
LABUISSIERE;106;22;20
LANDEGEM;553;138;109
LANDELIES;84;16;14
LANDEN;3.600;2.121;1.895
LANDSKOUTER;69
LANGDORP;205;20;29
LE CAMPINAIRE;56
LEBBEKE;512;57;67
LEDE;1.535;441;391
LEIGNON;46;6;9
LEMAN;100
LEMBEEK;462;96;97
LENS;208;16;19
LEOPOLDSBURG;553;234;158
LESSINES;784;149;104
LEUVEN;33.292;11.714;9.040
LEUZE;1.909;466;355
LEVAL;265;48;31
LIBRAMONT;2.496;859;1.701
LICHTERVELDE;2.617;887;1.060
LIEDEKERKE;2.082;436;390
LIEGE-GUILLEMINS;16.800;8.237;7.619
LIEGE-JONFOSSE;1.683;404;312
LIEGE-PALAIS;3.395;1.341;1.037
LIER;5.699;1.944;1.819
LIERDE;512;94;65
LIERS;236;69;46
LIGNY;176;34;60
LILLOIS;430;97;68
LIMAL;345;65;47
LINKEBEEK;741;129;120
LISSEWEGE;129;37;35
LOBBES;206;41;70
LODELINSART;127;17;23
LOKEREN;4.934;1.849;1.395
LOMMEL;645;48;298
LONDERZEEL;475;198;257
LONZEE;177;23;30
LOT;349;96;73
LOUVAIN-LA-NEUVE-UNIV.;6.711;2.471;1.504
LUSTIN;426;174;218
LUTTRE;2.212;464;487
MAFFLE;166;24;17
MALDEREN;330;113;166
MANAGE;471;53;39
MARBEHAN;898;360;860
MARCHE-EN-FAMENNE;413;109;215
MARCHE-LES-DAMES;55;11;10
MARCHE-LEZ-ECAUSSINNES;169
MARCHIENNE-AU-PONT;1.226;592;443
MARCHIENNE-ZONE;28;6;4
MARIA-AALTER;254;69;68
MARIEMBOURG;229;65;103
MARLOIE;1.346;539;767
MASNUY-SAINT-PIERRE;78
MAUBRAY;17
MAZY;67
MECHELEN;18.612;6.458;5.760
MECHELEN-NEKKERSPOEL;1.635;427;307
MEISER;452
MELKOUWEN;264;92;120
MELLE;754;154;110
MELREUX-HOTTON;304;201;228
MELSELE;156;20;20
MENEN;769;367;350
MERCHTEM;928;151;96
MERELBEKE;884;159;123
MERODE;1.209
MERY;66;15;15
MESSANCY;127
MEVERGNIES-ATTRE;94
MILMORT;279;53;38
MOENSBERG;440
